video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZEqxJM0RN00&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@cyclingweekly,Cycling Weekly,Is Modern Shimano Sora Better Than Retro Dura-Ace?,145K,2 years,How long does it really take for trickle down technology to reach the lower echelons? Tech Editor Simon Smythe has put the ...,2026-01-22 04:49:51.497302
/watch?v=BGOmeD9OimU&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@gcn,Global Cycling Network,50 Years Of Dura-Ace: From Outsider To Cycling Domination,274K,2 years,"We celebrate 50 years of the Shimano Dura-Ace, tracing the history of the groupset since its launch in 1973. Si rides Sean Yates' ...",2026-01-22 04:49:51.499912
/watch?v=TUfyUUauuoY&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@gcn,Global Cycling Network,Is Modern Shimano 105 Better Than 10 Year Old Dura-Ace?,1.2M,5 years,"Road bike gears have come a long way in the last decade, or have they? Ollie compares the mid-range Shimano 105 R7000 ...",2026-01-22 04:49:51.501306
/watch?v=FWqUcPPpQhM&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@CafeExMachinaKokkola,"Cafe Ex Machina, Kokkola",Colnago Master Inspired Build XI:  Shimano Dura-Ace 7700 Components,1.5K,1 year,"The journey to create a stunning Colnago Master replica continues! Fresh from its powder coat in timeless British Racing Green, ...",2026-01-22 04:49:51.503877
/watch?v=LvZ6VnL8SHg&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@gcntech,GCN Tech,Why I'm Ditching Dura-Ace For Mechanical 105,264K,1 year,Join Alex as he trades Shimano's top-tier Dura-Ace groupset on his favourite bike for the practical and affordable Shimano ...,2026-01-22 04:49:58.483538
/watch?v=u_iutlpJzxI&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@newoldsteelcycling,NewOldSteelCycling,Vintage Road Bike Discussion Regarding Dura Ace 7700 Downtube Shifters and 3T Status Quill Stem,6.2K,3 years,"I don't consider this a review, rather shining a light on little details for these components that can make a BIG difference if you are ...",2026-01-22 04:49:58.484866
/watch?v=HbDROaZ2_Wo&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@gcn,Global Cycling Network,Shimano Dura-Ace Vs Shimano Ultegra | What's The Difference?,1.4M,7 years,"According to Shimano themselves, the new Ultegra groupset is so close to the company's flagship Dura-Ace groupset as to be ...",2026-01-22 04:49:58.486953
/watch?v=Opxz6-oVtvg&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@DanyoSports,DanyoSports,Peugeot PB-9 X Dura-Ace 7700,6.9K,5 years,"If you see this, please come and take it back. Restoring brother's Peugeot PB-9 from the 1990's, the frame and fork were blasted ...",2026-01-22 04:49:58.490337
/watch?v=P5I77AwlpJU&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@atboy4342,ATBOY,Shimano Dura Ace Rd 7700 Rear Derailleur: Rebuild service overhaul dissembly,7.1K,4 years,Beautiful derailleur. So soft and elegant. Light too. Greasy rebuild. Interested in bike parts and accessories. Especially quality ...,2026-01-22 04:49:58.491877
/watch?v=k1h073aYNNw&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@CafeExMachinaKokkola,"Cafe Ex Machina, Kokkola",Colnago Master Inspired Build XIII: Chain Sizing & Shimano Dura-Ace 7700 Rear Derailleur Tune-Up,1.2K,10 months,"Join us in the next step of the Colnago Master replica journey! In this episode, we precisely size and cut the chain, install it using ...",2026-01-22 04:49:58.494005
